model,ep,strategy,ds_par,ds_transmit,ds_time,sub_par,sub_transmit,sub_time,rebalance_wall,score
DS-R1,64,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=0.99_cov_source=window_pin_hottest=False_k=1_threshold=0.0,1.425022,91892,94.494542,2.037117,390,122.265179,0.942303,77.286552
DS-R1,128,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=0.99_cov_source=window_pin_hottest=False_k=1_threshold=0.0,1.691569,110046,112.264005,2.899572,457,174.019057,0.724392,64.512478
DS-R1,256,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=0.99_cov_source=window_pin_hottest=False_k=1_threshold=0.0,2.119932,146768,141.559682,4.571624,589,274.355058,0.772234,51.597256
Qwen3,32,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=0.99_cov_source=window_pin_hottest=False_k=1_threshold=0.0,1.288529,57792,82.967671,1.953014,206,117.201019,1.075116,70.790913
Qwen3,64,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=0.99_cov_source=window_pin_hottest=False_k=1_threshold=0.0,1.531796,69973,98.755809,2.753330,249,165.224159,0.572633,59.770805
Qwen3,128,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=0.99_cov_source=window_pin_hottest=False_k=1_threshold=0.0,1.852714,92894,120.254113,4.146561,308,248.823773,0.497113,48.329029
DS-R1,32,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=0.99_cov_source=window_pin_hottest=False_k=2_threshold=0.0,1.257790,82489,83.540334,1.560156,686,93.676506,1.755873,89.179601
DS-R1,64,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=0.99_cov_source=window_pin_hottest=False_k=2_threshold=0.0,1.425022,91892,94.494542,1.984727,764,119.158364,0.906642,79.301644
DS-R1,128,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=0.99_cov_source=window_pin_hottest=False_k=2_threshold=0.0,1.691569,110046,112.264005,2.789583,913,167.464309,0.747093,67.037571
DS-R1,256,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=0.99_cov_source=window_pin_hottest=False_k=2_threshold=0.0,2.119932,146768,141.559682,4.361329,1182,261.795401,0.758810,54.072639
